>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 1 | Step 0 | Pred Loss: 0.77852
Stage 2 | Step 45000 | BC Loss: 0.19579
Stage 2 | Step 46000 | BC Loss: 0.18365
Stage 2 | Step 47000 | BC Loss: 0.27294
Stage 2 | Step 48000 | BC Loss: 0.19486
Stage 2 | Step 49000 | BC Loss: 0.22253
Stage 2 | Step 50000 | BC Loss: 0.32729
Stage 2 | Step 51000 | BC Loss: 0.30963
Stage 2 | Step 52000 | BC Loss: 0.23210
Stage 2 | Step 53000 | BC Loss: 0.31288
Stage 2 | Step 54000 | BC Loss: 0.21138
Stage 2 | Step 55000 | BC Loss: 0.25569
Stage 2 | Step 56000 | BC Loss: 0.26165
Stage 2 | Step 57000 | BC Loss: 0.22307
Stage 2 | Step 58000 | BC Loss: 0.20295
Stage 2 | Step 59000 | BC Loss: 0.21252
Stage 2 | Step 60000 | BC Loss: 0.17437
Stage 2 | Step 61000 | BC Loss: 0.15335
Stage 2 | Step 62000 | BC Loss: 0.28515
Stage 2 | Step 63000 | BC Loss: 0.28007
Stage 2 | Step 64000 | BC Loss: 0.13696
Stage 2 | Step 65000 | BC Loss: 0.14177
Stage 2 | Step 66000 | BC Loss: 0.26302
Stage 2 | Step 67000 | BC Loss: 0.15284
Stage 2 | Step 68000 | BC Loss: 0.20748
Stage 2 | Step 69000 | BC Loss: 0.29624
Stage 2 | Step 70000 | BC Loss: 0.20877
Stage 2 | Step 71000 | BC Loss: 0.15743
Stage 2 | Step 72000 | BC Loss: 0.19749
Stage 2 | Step 73000 | BC Loss: 0.15587
Stage 2 | Step 74000 | BC Loss: 0.23285
Stage 2 | Step 75000 | BC Loss: 0.14977
Stage 2 | Step 76000 | BC Loss: 0.28289
Stage 2 | Step 77000 | BC Loss: 0.28644
Stage 2 | Step 78000 | BC Loss: 0.15122
Stage 2 | Step 79000 | BC Loss: 0.20473
Stage 2 | Step 80000 | BC Loss: 0.30817
Stage 2 | Step 81000 | BC Loss: 0.17027
Stage 2 | Step 82000 | BC Loss: 0.17366
Stage 2 | Step 83000 | BC Loss: 0.17716
Stage 2 | Step 84000 | BC Loss: 0.22312
Stage 2 | Step 85000 | BC Loss: 0.20684
Stage 2 | Step 86000 | BC Loss: 0.12329
Stage 2 | Step 87000 | BC Loss: 0.21170
Stage 2 | Step 88000 | BC Loss: 0.18505
Stage 2 | Step 89000 | BC Loss: 0.13785
Stage 2 | Step 90000 | BC Loss: 0.19412
Stage 2 | Step 91000 | BC Loss: 0.20869
Stage 2 | Step 92000 | BC Loss: 0.21280
Stage 2 | Step 93000 | BC Loss: 0.24700
Stage 2 | Step 94000 | BC Loss: 0.17872
Stage 2 | Step 95000 | BC Loss: 0.27945
Stage 2 | Step 96000 | BC Loss: 0.14642
Stage 2 | Step 97000 | BC Loss: 0.28199
Stage 2 | Step 98000 | BC Loss: 0.15102
Stage 2 | Step 99000 | BC Loss: 0.24964
Stage 2 | Step 100000 | BC Loss: 0.27180
Stage 2 | Step 101000 | BC Loss: 0.20864
Stage 2 | Step 102000 | BC Loss: 0.19880
Stage 2 | Step 103000 | BC Loss: 0.16302
Stage 2 | Step 104000 | BC Loss: 0.12516
Stage 2 | Step 105000 | BC Loss: 0.14892
Stage 2 | Step 106000 | BC Loss: 0.10162
Stage 2 | Step 107000 | BC Loss: 0.21919
Stage 2 | Step 108000 | BC Loss: 0.21124
Stage 2 | Step 109000 | BC Loss: 0.22476
Stage 2 | Step 110000 | BC Loss: 0.18762
Stage 2 | Step 111000 | BC Loss: 0.16876
Stage 2 | Step 112000 | BC Loss: 0.18310
Stage 2 | Step 113000 | BC Loss: 0.12537
Stage 2 | Step 114000 | BC Loss: 0.13341
Stage 2 | Step 115000 | BC Loss: 0.13875
Stage 2 | Step 116000 | BC Loss: 0.29468
Stage 2 | Step 117000 | BC Loss: 0.14026
Stage 2 | Step 118000 | BC Loss: 0.22669
Stage 2 | Step 119000 | BC Loss: 0.13024
Stage 2 | Step 120000 | BC Loss: 0.11710
Stage 2 | Step 121000 | BC Loss: 0.22939
Stage 2 | Step 122000 | BC Loss: 0.14108
Stage 2 | Step 123000 | BC Loss: 0.12283
Stage 2 | Step 124000 | BC Loss: 0.15864
