Training started in: /home/kaize/Downloads/Master_Study_Master_Thesis/libfranka_ws/src/E2E_Teleoperation/E2E_Teleoperation/trained_RL/E2E_RL_HIGH_VARIANCE_FIGURE_8_20251221_180800
============================================================

>>> STAGE 1: ROBUST ESTIMATION (Supervised)
[Stage 1 Step 3350] Loss: 0.01547 | Reward: 0.000 | Pred Err: 7.75e-01 | Track Err: 0.02726
[Stage 1 Step 3400] Loss: 0.01401 | Reward: 0.000 | Pred Err: 5.84e-01 | Track Err: 0.03591
[Stage 1 Step 3450] Loss: 0.01228 | Reward: 0.000 | Pred Err: 6.42e-01 | Track Err: 0.04270
[Stage 1 Step 3500] Loss: 0.01099 | Reward: 0.000 | Pred Err: 6.98e-01 | Track Err: 0.05041
[Stage 1 Step 3550] Loss: 0.01093 | Reward: 0.000 | Pred Err: 8.04e-01 | Track Err: 0.06030
[Stage 1 Step 3600] Loss: 0.01211 | Reward: 0.000 | Pred Err: 8.19e-01 | Track Err: 0.07572
[Stage 1 Step 3650] Loss: 0.01079 | Reward: 0.000 | Pred Err: 8.29e-01 | Track Err: 0.08607
[Stage 1 Step 3700] Loss: 0.01059 | Reward: 0.000 | Pred Err: 8.56e-01 | Track Err: 0.08190
[Stage 1 Step 3750] Loss: 0.01131 | Reward: 0.000 | Pred Err: 8.80e-01 | Track Err: 0.07989
[Stage 1 Step 3800] Loss: 0.01163 | Reward: 0.000 | Pred Err: 1.06e+00 | Track Err: 0.08165
[Stage 1 Step 3850] Loss: 0.01224 | Reward: 0.000 | Pred Err: 8.84e-01 | Track Err: 0.09213
[Stage 1 Step 3900] Loss: 0.01146 | Reward: 0.000 | Pred Err: 9.46e-01 | Track Err: 0.09289
[Stage 1 Step 3950] Loss: 0.01334 | Reward: 0.000 | Pred Err: 7.66e-01 | Track Err: 0.08326
[Stage 1 Step 4000] Loss: 0.01111 | Reward: 0.000 | Pred Err: 8.12e-01 | Track Err: 0.07030
[Stage 1 Step 4050] Loss: 0.01222 | Reward: 0.000 | Pred Err: 7.58e-01 | Track Err: 0.07297
[Stage 1 Step 4100] Loss: 0.01124 | Reward: 0.000 | Pred Err: 7.48e-01 | Track Err: 0.06882
[Stage 1 Step 4150] Loss: 0.01105 | Reward: 0.000 | Pred Err: 6.44e-01 | Track Err: 0.06281
[Stage 1 Step 4200] Loss: 0.00950 | Reward: 0.000 | Pred Err: 6.01e-01 | Track Err: 0.05400
[Stage 1 Step 4250] Loss: 0.00875 | Reward: 0.000 | Pred Err: 5.43e-01 | Track Err: 0.04470
[Stage 1 Step 4300] Loss: 0.00799 | Reward: 0.000 | Pred Err: 5.05e-01 | Track Err: 0.03594
[Stage 1 Step 4350] Loss: 0.00723 | Reward: 0.000 | Pred Err: 5.19e-01 | Track Err: 0.03491
[Stage 1 Step 4400] Loss: 0.00712 | Reward: 0.000 | Pred Err: 4.49e-01 | Track Err: 0.03844
[Stage 1 Step 4450] Loss: 0.00713 | Reward: 0.000 | Pred Err: 4.17e-01 | Track Err: 0.03657
[Stage 1 Step 4500] Loss: 0.00644 | Reward: 0.000 | Pred Err: 3.75e-01 | Track Err: 0.03353
[Stage 1 Step 4550] Loss: 0.00579 | Reward: 0.000 | Pred Err: 3.36e-01 | Track Err: 0.03458
[Stage 1 Step 4600] Loss: 0.00506 | Reward: 0.000 | Pred Err: 3.17e-01 | Track Err: 0.04013
[Stage 1 Step 4650] Loss: 0.00534 | Reward: 0.000 | Pred Err: 3.21e-01 | Track Err: 0.05080
[Stage 1 Step 4700] Loss: 0.00492 | Reward: 0.000 | Pred Err: 3.19e-01 | Track Err: 0.05837
[Stage 1 Step 4750] Loss: 0.00461 | Reward: 0.000 | Pred Err: 2.96e-01 | Track Err: 0.06677
[Stage 1 Step 4800] Loss: 0.00448 | Reward: 0.000 | Pred Err: 2.87e-01 | Track Err: 0.06629
[Stage 1 Step 4850] Loss: 0.00403 | Reward: 0.000 | Pred Err: 2.82e-01 | Track Err: 0.06965
[Stage 1 Step 4900] Loss: 0.00440 | Reward: 0.000 | Pred Err: 2.67e-01 | Track Err: 0.08496
[Stage 1 Step 4950] Loss: 0.00390 | Reward: 0.000 | Pred Err: 2.17e-01 | Track Err: 0.09488
[Stage 1 Step 5000] Loss: 0.00390 | Reward: 0.000 | Pred Err: 1.60e-01 | Track Err: 0.09471
[Stage 1 Step 5050] Loss: 0.00420 | Reward: 0.000 | Pred Err: 9.58e-02 | Track Err: 0.09066
[Stage 1 Step 5100] Loss: 0.00345 | Reward: 0.000 | Pred Err: 8.04e-02 | Track Err: 0.10130
[Stage 1 Step 5150] Loss: 0.00320 | Reward: 0.000 | Pred Err: 1.41e-01 | Track Err: 0.11548
[Stage 1 Step 5200] Loss: 0.00513 | Reward: 0.000 | Pred Err: 1.29e-01 | Track Err: 0.11380
[Stage 1 Step 5250] Loss: 0.00524 | Reward: 0.000 | Pred Err: 1.16e-01 | Track Err: 0.09800
[Stage 1 Step 5300] Loss: 0.00442 | Reward: 0.000 | Pred Err: 1.33e-01 | Track Err: 0.07998
[Stage 1 Step 5350] Loss: 0.00377 | Reward: 0.000 | Pred Err: 1.03e-01 | Track Err: 0.07905
[Stage 1 Step 5400] Loss: 0.00342 | Reward: 0.000 | Pred Err: 8.12e-02 | Track Err: 0.07907
[Stage 1 Step 5450] Loss: 0.00308 | Reward: 0.000 | Pred Err: 1.07e-01 | Track Err: 0.07009
 
 >>> EPISODE FINISHED at Step 5499 | TOTAL REWARD: 4008.3803 <<<

[Stage 1 Step 5500] Loss: 0.00296 | Reward: 4008.380 | Pred Err: 3.05e-01 | Track Err: 0.00000
[Stage 1 Step 5550] Loss: 0.00271 | Reward: 4008.380 | Pred Err: 2.65e-01 | Track Err: 0.01772
[Stage 1 Step 5600] Loss: 0.00310 | Reward: 4008.380 | Pred Err: 2.13e-01 | Track Err: 0.07739
[Stage 1 Step 5650] Loss: 0.00335 | Reward: 4008.380 | Pred Err: 9.31e-02 | Track Err: 0.09695
[Stage 1 Step 5700] Loss: 0.00226 | Reward: 4008.380 | Pred Err: 6.40e-02 | Track Err: 0.08485
[Stage 1 Step 5750] Loss: 0.00307 | Reward: 4008.380 | Pred Err: 8.13e-02 | Track Err: 0.08712
[Stage 1 Step 5800] Loss: 0.00273 | Reward: 4008.380 | Pred Err: 6.26e-02 | Track Err: 0.09931
[Stage 1 Step 5850] Loss: 0.00265 | Reward: 4008.380 | Pred Err: 8.65e-02 | Track Err: 0.09304
[Stage 1 Step 5900] Loss: 0.00295 | Reward: 4008.380 | Pred Err: 6.73e-02 | Track Err: 0.06838
[Stage 1 Step 5950] Loss: 0.00223 | Reward: 4008.380 | Pred Err: 8.50e-02 | Track Err: 0.05623
[Stage 1 Step 6000] Loss: 0.00199 | Reward: 4008.380 | Pred Err: 6.22e-02 | Track Err: 0.05192
[Stage 1 Step 6050] Loss: 0.00202 | Reward: 4008.380 | Pred Err: 3.16e-02 | Track Err: 0.04558
[Stage 1 Step 6100] Loss: 0.00188 | Reward: 4008.380 | Pred Err: 5.13e-02 | Track Err: 0.03280
[Stage 1 Step 6150] Loss: 0.00207 | Reward: 4008.380 | Pred Err: 4.47e-02 | Track Err: 0.02578
[Stage 1 Step 6200] Loss: 0.00205 | Reward: 4008.380 | Pred Err: 3.69e-02 | Track Err: 0.02232
[Stage 1 Step 6250] Loss: 0.00269 | Reward: 4008.380 | Pred Err: 3.16e-02 | Track Err: 0.02095
[Stage 1 Step 6300] Loss: 0.00146 | Reward: 4008.380 | Pred Err: 2.88e-02 | Track Err: 0.02325
[Stage 1 Step 6350] Loss: 0.00178 | Reward: 4008.380 | Pred Err: 1.54e-02 | Track Err: 0.02467
[Stage 1 Step 6400] Loss: 0.00219 | Reward: 4008.380 | Pred Err: 6.12e-02 | Track Err: 0.03018
[Stage 1 Step 6450] Loss: 0.00150 | Reward: 4008.380 | Pred Err: 4.16e-02 | Track Err: 0.04911
[Stage 1 Step 6500] Loss: 0.00199 | Reward: 4008.380 | Pred Err: 5.32e-02 | Track Err: 0.06062
[Stage 1 Step 6550] Loss: 0.00172 | Reward: 4008.380 | Pred Err: 5.66e-02 | Track Err: 0.06186
[Stage 1 Step 6600] Loss: 0.00202 | Reward: 4008.380 | Pred Err: 4.78e-02 | Track Err: 0.05983
[Stage 1 Step 6650] Loss: 0.00144 | Reward: 4008.380 | Pred Err: 2.83e-02 | Track Err: 0.07099
[Stage 1 Step 6700] Loss: 0.00213 | Reward: 4008.380 | Pred Err: 2.27e-02 | Track Err: 0.09430
[Stage 1 Step 6750] Loss: 0.00145 | Reward: 4008.380 | Pred Err: 4.77e-02 | Track Err: 0.10030
[Stage 1 Step 6800] Loss: 0.00127 | Reward: 4008.380 | Pred Err: 4.07e-02 | Track Err: 0.08034
[Stage 1 Step 6850] Loss: 0.00142 | Reward: 4008.380 | Pred Err: 3.87e-02 | Track Err: 0.07141
[Stage 1 Step 6900] Loss: 0.00124 | Reward: 4008.380 | Pred Err: 4.76e-02 | Track Err: 0.08347
[Stage 1 Step 6950] Loss: 0.00128 | Reward: 4008.380 | Pred Err: 7.09e-02 | Track Err: 0.09815
[Stage 1 Step 7000] Loss: 0.00126 | Reward: 4008.380 | Pred Err: 6.10e-02 | Track Err: 0.08664
[Stage 1 Step 7050] Loss: 0.00180 | Reward: 4008.380 | Pred Err: 2.83e-02 | Track Err: 0.06600
[Stage 1 Step 7100] Loss: 0.00159 | Reward: 4008.380 | Pred Err: 2.50e-02 | Track Err: 0.05441
[Stage 1 Step 7150] Loss: 0.00196 | Reward: 4008.380 | Pred Err: 2.86e-02 | Track Err: 0.05758
[Stage 1 Step 7200] Loss: 0.00148 | Reward: 4008.380 | Pred Err: 2.81e-02 | Track Err: 0.05876
[Stage 1 Step 7250] Loss: 0.00099 | Reward: 4008.380 | Pred Err: 3.99e-02 | Track Err: 0.05340
[Stage 1 Step 7300] Loss: 0.00136 | Reward: 4008.380 | Pred Err: 4.02e-02 | Track Err: 0.04069
[Stage 1 Step 7350] Loss: 0.00199 | Reward: 4008.380 | Pred Err: 4.75e-02 | Track Err: 0.03381
[Stage 1 Step 7400] Loss: 0.00109 | Reward: 4008.380 | Pred Err: 5.06e-02 | Track Err: 0.03023
[Stage 1 Step 7450] Loss: 0.00131 | Reward: 4008.380 | Pred Err: 4.58e-02 | Track Err: 0.02635
[Stage 1 Step 7500] Loss: 0.00159 | Reward: 4008.380 | Pred Err: 2.89e-02 | Track Err: 0.02559
[Stage 1 Step 7550] Loss: 0.00164 | Reward: 4008.380 | Pred Err: 3.03e-02 | Track Err: 0.03704
[Stage 1 Step 7600] Loss: 0.00120 | Reward: 4008.380 | Pred Err: 2.48e-02 | Track Err: 0.04730
[Stage 1 Step 7650] Loss: 0.00126 | Reward: 4008.380 | Pred Err: 4.32e-02 | Track Err: 0.05354
[Stage 1 Step 7700] Loss: 0.00118 | Reward: 4008.380 | Pred Err: 4.64e-02 | Track Err: 0.05893
[Stage 1 Step 7750] Loss: 0.00092 | Reward: 4008.380 | Pred Err: 4.86e-02 | Track Err: 0.06670
[Stage 1 Step 7800] Loss: 0.00122 | Reward: 4008.380 | Pred Err: 5.43e-02 | Track Err: 0.07446
[Stage 1 Step 7850] Loss: 0.00139 | Reward: 4008.380 | Pred Err: 5.52e-02 | Track Err: 0.07694
[Stage 1 Step 7900] Loss: 0.00135 | Reward: 4008.380 | Pred Err: 7.85e-02 | Track Err: 0.08694
[Stage 1 Step 7950] Loss: 0.00118 | Reward: 4008.380 | Pred Err: 3.92e-02 | Track Err: 0.09338
[Stage 1 Step 8000] Loss: 0.00122 | Reward: 4008.380 | Pred Err: 5.84e-02 | Track Err: 0.09967
[Stage 1 Step 8050] Loss: 0.00120 | Reward: 4008.380 | Pred Err: 5.31e-02 | Track Err: 0.10186
[Stage 1 Step 8100] Loss: 0.00120 | Reward: 4008.380 | Pred Err: 5.17e-02 | Track Err: 0.10592
[Stage 1 Step 8150] Loss: 0.00120 | Reward: 4008.380 | Pred Err: 5.72e-02 | Track Err: 0.10714
[Stage 1 Step 8200] Loss: 0.00152 | Reward: 4008.380 | Pred Err: 7.38e-02 | Track Err: 0.10405
[Stage 1 Step 8250] Loss: 0.00119 | Reward: 4008.380 | Pred Err: 1.03e-01 | Track Err: 0.09675
[Stage 1 Step 8300] Loss: 0.00152 | Reward: 4008.380 | Pred Err: 6.40e-02 | Track Err: 0.09079
[Stage 1 Step 8350] Loss: 0.00128 | Reward: 4008.380 | Pred Err: 4.84e-02 | Track Err: 0.08427
[Stage 1 Step 8400] Loss: 0.00132 | Reward: 4008.380 | Pred Err: 4.77e-02 | Track Err: 0.07389
[Stage 1 Step 8450] Loss: 0.00078 | Reward: 4008.380 | Pred Err: 4.54e-02 | Track Err: 0.06076
[Stage 1 Step 8500] Loss: 0.00106 | Reward: 4008.380 | Pred Err: 4.80e-02 | Track Err: 0.04700
[Stage 1 Step 8550] Loss: 0.00100 | Reward: 4008.380 | Pred Err: 4.24e-02 | Track Err: 0.04215
[Stage 1 Step 8600] Loss: 0.00089 | Reward: 4008.380 | Pred Err: 3.54e-02 | Track Err: 0.03645
[Stage 1 Step 8650] Loss: 0.00096 | Reward: 4008.380 | Pred Err: 2.62e-02 | Track Err: 0.03211
[Stage 1 Step 8700] Loss: 0.00137 | Reward: 4008.380 | Pred Err: 1.86e-02 | Track Err: 0.02717
[Stage 1 Step 8750] Loss: 0.00103 | Reward: 4008.380 | Pred Err: 1.77e-02 | Track Err: 0.02431
[Stage 1 Step 8800] Loss: 0.00088 | Reward: 4008.380 | Pred Err: 2.04e-02 | Track Err: 0.01869
[Stage 1 Step 8850] Loss: 0.00144 | Reward: 4008.380 | Pred Err: 3.27e-02 | Track Err: 0.02208
[Stage 1 Step 8900] Loss: 0.00102 | Reward: 4008.380 | Pred Err: 2.73e-02 | Track Err: 0.03556
[Stage 1 Step 8950] Loss: 0.00147 | Reward: 4008.380 | Pred Err: 3.56e-02 | Track Err: 0.04596
[Stage 1 Step 9000] Loss: 0.00112 | Reward: 4008.380 | Pred Err: 2.98e-02 | Track Err: 0.06053
